Date,CPI
YYYY-MM-DD,%
1/03/2016,2
1/04/2016,2
1/05/2016,2
1/06/2016,2
1/07/2016,2
1/08/2016,2
1/09/2016,2
1/10/2016,2
1/11/2016,2
1/12/2016,2
1/01/2017,2
1/02/2017,2
1/03/2017,2
1/04/2017,2
1/05/2017,2
1/06/2017,2
1/07/2017,2
1/08/2017,2
1/09/2017,2
1/10/2017,2
1/11/2017,2
1/12/2017,2
1/01/2018,2
1/02/2018,2
1/03/2018,2
1/04/2018,2
1/05/2018,2
1/06/2018,2
1/07/2018,2
1/08/2018,2
1/09/2018,2
1/10/2018,2
1/11/2018,2
1/12/2018,2
1/01/2019,2
1/02/2019,2
1/03/2019,2
1/04/2019,2
1/05/2019,2
1/06/2019,2
1/07/2019,2
1/08/2019,2
1/09/2019,2
1/10/2019,2
1/11/2019,2
1/12/2019,2
1/01/2020,2
1/02/2020,2
1/03/2020,2
1/04/2020,2
1/05/2020,2
1/06/2020,2
1/07/2020,2
1/08/2020,2
1/09/2020,2
1/10/2020,2
1/11/2020,2
1/12/2020,2
1/01/2021,2
1/02/2021,2
1/03/2021,2
1/04/2021,2
1/05/2021,2
1/06/2021,2
1/07/2021,2
