Date,"90A Fourth Ave, Mount Lawley, Perth, WA, Australia"
YYYY-MM-DD,
1/03/2016,670000
1/04/2016,670000
1/05/2016,670000
1/06/2016,670000
1/07/2016,685402.2989
1/08/2016,685402.2989
1/09/2016,670000
1/10/2016,700804.5977
1/11/2016,731609.1954
1/12/2016,670000
1/01/2017,685402.2989
1/02/2017,716206.8966
1/03/2017,716206.8966
1/04/2017,747011.4943
1/05/2017,654597.7011
1/06/2017,685402.2989
1/07/2017,670000
1/08/2017,662298.8506
1/09/2017,654597.7011
1/10/2017,646896.5517
1/11/2017,623793.1034
1/12/2017,654597.7011
1/01/2018,685402.2989
1/02/2018,716206.8966
1/03/2018,716206.8966
1/04/2018,700804.5977
1/05/2018,693103.4483
1/06/2018,685402.2989
1/07/2018,677701.1494
1/08/2018,670000
1/09/2018,654597.7011
1/10/2018,654597.7011
1/11/2018,654597.7011
1/12/2018,654597.7011
1/01/2019,635817.924
1/02/2019,637961.3034
1/03/2019,639899.862
1/04/2019,642049.0039
1/05/2019,644131.6996
1/06/2019,646286.794
1/07/2019,648375.2474
1/08/2019,650536.2888
1/09/2019,652700.3503
1/10/2019,654797.4776
1/11/2019,656967.4779
1/12/2019,659070.3498
1/01/2020,661246.2834
1/02/2020,663425.2303
1/03/2020,665466.3266
1/04/2020,667651.1016
1/05/2020,669768.2651
1/06/2020,671958.9601
1/07/2020,674081.8501
1/08/2020,676278.4597
1/09/2020,678478.0731
1/10/2020,680609.5899
1/11/2020,682815.1099
1/12/2020,684952.3403
1/01/2021,830590.8694
1/02/2021,833258.8435
1/03/2021,835671.7288
1/04/2021,838346.5708
1/05/2021,840938.5611
1/06/2021,843620.4975
1/07/2021,846219.3504
